# ATR VOLATILITY SCREENER
# Найдено символов: 147

Symbol          | Volatility   | Candles
我踏马来了USDT       | 30.80%       | 12
DEEPUSDT        | 30.76%       | 12
AKTUSDT         | 30.47%       | 12
BRETTUSDT       | 30.47%       | 12
ICNTUSDT        | 30.44%       | 12
AVAAIUSDT       | 30.38%       | 12
LYNUSDT         | 29.99%       | 12
HEMIUSDT        | 29.91%       | 12
MOVRUSDT        | 29.89%       | 12
CATIUSDT        | 29.85%       | 12
FOGOUSDT        | 29.67%       | 12
SCRTUSDT        | 29.59%       | 12
LAYERUSDT       | 29.52%       | 12
JELLYJELLYUSDT  | 29.42%       | 12
ARIAUSDT        | 29.31%       | 12
ORCAUSDT        | 29.30%       | 12
NEARUSDT        | 29.14%       | 12
MERLUSDT        | 29.05%       | 12
FARTCOINUSDT    | 29.04%       | 12
JUPUSDT         | 29.02%       | 12
GUNUSDT         | 28.96%       | 12
TNSRUSDT        | 28.96%       | 12
ORDIUSDT        | 28.94%       | 12
PLUMEUSDT       | 28.84%       | 12
PHAUSDT         | 28.74%       | 12
YBUSDT          | 28.59%       | 12
APRUSDT         | 28.47%       | 12
AZTECUSDT       | 28.24%       | 12
1000LUNCUSDT    | 28.23%       | 12
MMTUSDT         | 28.13%       | 12
THEUSDT         | 28.11%       | 12
KATUSDT         | 28.08%       | 12
METUSDT         | 28.06%       | 12
KOMAUSDT        | 27.96%       | 12
OPENUSDT        | 27.92%       | 12
SPXUSDT         | 27.80%       | 12
GRIFFAINUSDT    | 27.76%       | 12
CLANKERUSDT     | 27.69%       | 12
COOKIEUSDT      | 27.69%       | 12
AERGOUSDT       | 27.62%       | 12
MANTAUSDT       | 27.54%       | 12
XLMUSDT         | 27.54%       | 12
WALUSDT         | 27.53%       | 12
VELODROMEUSDT   | 27.52%       | 12
RIVERUSDT       | 27.33%       | 12
TOWNSUSDT       | 27.29%       | 12
SQDUSDT         | 27.26%       | 12
ONDOUSDT        | 27.14%       | 12
LIGHTUSDT       | 26.99%       | 12
ZKPUSDT         | 26.94%       | 12
RONINUSDT       | 26.93%       | 12
GOATUSDT        | 26.92%       | 12
PROMPTUSDT      | 26.80%       | 12
REZUSDT         | 26.70%       | 12
RPLUSDT         | 26.45%       | 12
FLOCKUSDT       | 26.27%       | 12
BREVUSDT        | 26.25%       | 12
PROMUSDT        | 26.20%       | 12
AEROUSDT        | 26.19%       | 12
CHZUSDT         | 26.18%       | 12
INJUSDT         | 26.15%       | 12
KGENUSDT        | 26.07%       | 12
B2USDT          | 26.04%       | 12
KITEUSDT        | 25.97%       | 12
CFGUSDT         | 25.95%       | 12
XPINUSDT        | 25.95%       | 12
SENTUSDT        | 25.87%       | 12
HAEDALUSDT      | 25.85%       | 12
INITUSDT        | 25.83%       | 12
PYTHUSDT        | 25.71%       | 12
CHRUSDT         | 25.70%       | 12
WUSDT           | 25.65%       | 12
ENAUSDT         | 25.61%       | 12
BANUSDT         | 25.60%       | 12
PENDLEUSDT      | 25.59%       | 12
ARCUSDT         | 25.46%       | 12
AIXBTUSDT       | 25.44%       | 12
ICPUSDT         | 25.32%       | 12
RECALLUSDT      | 25.30%       | 12
LAUSDT          | 25.29%       | 12
STOUSDT         | 25.29%       | 12
ZROUSDT         | 25.27%       | 12
SUSDT           | 25.26%       | 12
CYSUSDT         | 25.23%       | 12
GIGGLEUSDT      | 25.17%       | 12
GPSUSDT         | 25.17%       | 12
MOVEUSDT        | 25.14%       | 12
CUSDT           | 25.13%       | 12
